target,input
Student loan,"I am unable to pay for my loan because I had to file a Bankruptcy and take an early Social Security of only a little bit over {$700.00} a month. When I do find a job The I.R.S. taxes me and I have to pay instead of getting a refund. Navient told me I could get a Repayment plan according my income. They told me its approved and the the next month send me a bill for {$700.00}. This goes on and on month after month and my loan went from {$36000.00} to {$42000.00}. When I try to get my I.R.S. Tax return information online I can not retrieve it .I am XXXX years old and am living on Social Security and a part time job of 15 hrs. a week .Every time you try to contact Navient you get a different individual and nothing gets accomplished. I am not trying to get out of paying my loan, but I do not understand why I can not pay a small amount and keep the intrest down. Illinois Attorney General XXXX XXXX has filed a Lawsuit against Navient and when ii ask them about it they will not respond. 

What kind of Options do I have? 

Respectfully XXXX XXXX XXXX"
Checking or savings account,"Morning, I opened a checking account as a new customer with Key Bank in XXXX, CT last month. Key Bank was offering {$400.00} for every new account opened with two direct deposits and payable within 60 days from the opening of an account. 

I have been working from home on a recommendation from a XXXX. I went to go deposit a check from my dad for {$180.00}. and this bank has two slots, one for cash, and one for checks which I didn't realize. Upon trying to deposit the check, I must have hit cash and could not exit out of the transaction at the ATM. I tried a {$1.00} bill, an envelope, nothing worked, so I put in a blank check from an old bank just to get the transaction finished so I could actually deposit the {$180.00}. The second time I tried depositing it, it was successful. 

Then the next day, based on an email from a friend, I signed up for a second job as a XXXX person. A bank check, appeared to be a bank check, arrived and I deposited it for {$2300.00}. After sleeping on this deposit, it seemed weird they never asked for a Ssn for tax purposes, etc. I called Key Bank and a gentlemen told me to just watch my account. That didn't sit right with me, so I reported it as a fraudulent check the next evening. I've gone to my local police, submitted any and all paperwork to KeyBank, was forced to close my account and told KeyBank will not open a new one with me! Mind you this is days before they should pay out the {$400.00}. I haven't switched banks in a long time, and have never had such a horrible experience. The guy upon opening my account at KeyBank was asking about jobs at my company, and what his friends in XXXX could do to apply as well. Now they won't open a new account-which is fine at this point-but they also mentioned absolutely nothing about the promo deposit of {$400.00}. I have never worked with such an unprofessional bank or heard of refusing to open another account. I would like someone to look into this and explain why they are refusing to accept customers and negating their promo."
"Money transfer, virtual currency, or money service","We purchased a roll up door from XXXX online. Order number XXXX. We purchased this with the expectation of a rebate that was promised. Rebate code XXXX. 

We received notice that the door was available for pickup on XX/XX/XXXX and the following week end, retrieved the item on XX/XX/2018. Now having received the merchandise, we attempted to collect the rebate. However, the rebate deal stated that it was no longer available and expired on XX/XX/2018. 

Our complaint is that we could not exercise the rebate until receipt of the merchandise, and because of their slow delivery, ( Order placed XX/XX/2018 ) we could not exercise the rebate. This was false and deceptive to offer a rebated price and then not making allowance for us to claim the rebate"
Mortgage,"PS sent me a letter dated XX/XX/XXXX which stated that SPS is aware of the issues presented in my RESPA letter and would like to work with me to reach a resolution. However, when I called them they were not able to provide any options for a resolution. I received a Notice of Reposting and Sale notice from XXXX XXXX XXXX XXXX XXXX, XXXX. to foreclose on my house on XX/XX/XXXX. I have requested an accurate payoff amount which they have not provided. There have been so many accounting issues that an SPS employee, XXXX XXXX stated during a phone call that it is impossible to validate historical amounts because the loan data came from a previous servicer. My XX/XX/XXXX Mortgage Statement, notes that my XX/XX/XXXX unpaid payment is {$3400.00}. However, on my XX/XX/XXXX Mortgage Statement it shows my XX/XX/XXXX unpaid payment was {$2400.00}. To date they have not provided an explanation. Finally, they raised my interest rate to over 7 % and did not send a notification. Now, they are threatening to throw me, my XXXX children and XXXX dogs onto the street within days of the holidays. They need to do what they said and work with me on a resolution."
"Credit reporting, credit repair services, or other personal consumer reports","Dear CFPB, This complaint is against Equifax on their incompetence with following updating accurate personal information. As of XX/XX/XXXX, I, XXXX XXXX XXXX, after months dealing with Equifax jumping through hoops I received a letter stating they had updated my date of birth to XXXX as for some fradulant info had my DOB as XXXX XXXX. That's odd because if I that was my DOB one of the fradulant accouts that were open I would have been 4 years old. 

Here it is XXXX and now my DOB is still incorrect in their system as they didn't update my DOB and they still have the fraudalent birthday on their file. They said they don't see a case # related to my name back in XX/XX/XXXX. That's strange I have a 18 page report here on my desk from Equifax stating they updated my DOB! ( Confirmation # XXXX ) I have attached that letter from their within this complaint. 

Abosolutely Insane as they are to protect us! Outdated questions on information about my past credit cards ext ext. This should be updated by Congress the amount of questions they can ask! 

I have sent emails, been on the phone with 3 supervisors, faxed them all information. In order to now track it again I went on line and upload information on their website which they sent me another case reference # ( XXXX ) with a different fax # on the cover letter which no suprise the fax # not operating!! ( Wonderful Customer Service ) I am trying to purchase a vehicle & they have placed an extended fraud alert on my account from XX/XX/XXXX and says on their file blocked for promotional purposes. Yet I have sent all my documentations and they continue to not have the info corrected in a timely manner. 

How is it that Equifax is still in business being at their mercy. I will want to be in a class action suit against them for all my troubles with this Burea. I have all my documents from XX/XX/XXXX with Equifax and the investigation stating my information had been updated. 

Now XXXX Still having the same problem with them! This particular dealership only pulls from Equifax causing me to possibly lose the rebate to buy this car. 

Your assistitance in this matter would be greatly appreciated. 
Thank you Kindly for your assistance and attention the urgency of this matter. 

XXXX XXXX"
Vehicle loan or lease,"My husband and I bought a XXXX XXXX XXXX from XXXX XXXX in XXXX, XXXX, in XX/XX/XXXX. We were financed by Santander Consumer, USA. We recently went to a car dealership ( XX/XX/XXXX ), hoping to either refinance our vehicle or be placed in another vehicle because we were making steps to clear up our credit. The manager from the car dealership ( XXXX XXXX XXXX ) came out to speak to us, which I thought was strange. He stated how out of all the years selling cars, he had never seen anything like what he was seeing with our loan from Santander. Our payoff amount is {$22000.00}. We purchased the vehicle ( 3 1/2 years ago ) in which our loan was approx {$23000.00}. Unbeknownst to us the 39 payments that we made from the beginning of the loan, approx {$18000.00}, went solely to interest and only less than {$500.00} went towards the principle of the loan. We spoke with a manager from Santander, XXXX XXXX ( ID # XXXX ) who told us that our contract has a simple interest rate loan, where we pay an enormous amount of interest each day our loan is late. Yes, we have been late in the past. However, within the last 12 months, we worked consistently on our payment, making sure nothing hit our credit. We were never late past the 30 days. We feel like we have been XXXX, manipulated. Yes, we might have been ignorant in going into this contract with Santander. Having a loan for almost 4 years, yes late many times, yes we put some payments towards the end of the loan, BUT $ XXXX WOW!! That's a lot of money, especially when 82 % percent of the payment goes to interest, leaving only {$160.00} going towards principle. Very upsetting and frustrating especially when we are at the verge of getting approved for a loan for our house and the only hardship is now that of this vehicle. Is there anything that can be done? Please help and/or assist us regarding this matter."
Mortgage,"Do not trust this Bank. They stole my home. First, let say I am person who had worked 60t hrs a week in my salon for over a decade. I PRIDED MY SELF ON BUILDING MY OWN HOME ON FAMILY PROPERTY AT THE YOUNG AGE OF XXXX AND BEING A SINGLE MOM. Prior to having United Bank ( XXXX XXXX ) steal my home fraudulently my credit score was never underXXXX. It now list foreclosure in the amount of {$62.00} yes only {$62.00} LOOK Down Pics..in XX/XX/XXXX I opened a line of credit with my home equity I had established since building the home in XX/XX/XXXXtotalingXXXXk to put a in ground pool in.After the construction was done I closed that line of credit, and switched it to a loan for approximately $ XXXXk ( I thought ) later was told by Mr XXXX that the banker I had  trusted and known my whole life was caught doing "" dirty loan business. "" and was forced to resign ..and he told me to go after her. ( facts are facts she did indeed not ever turn the paper work in closing the equity to a loan at the tax office. ) Rather it was Her who first kept it at a line of credit. ( I have met with her she remembers it all clear. All truth too, Down to the dollar and has told me this wasnt her. ) So me not even knowing over the next eight years paid over {$13000.00} back, all by check. ( Way over what was owed by this point ) in XXXX and XX/XX/XXXX I paid a total of 6 payments ahead so that way I could travel that summer with no Bill 's due. In XXXX ( just 2 mths later ) I recieved a call that my account was 9MONTHS BEHIND while I was at the beach.I  was adamant this was a simple mistake considering I seen my checks cleared. Well over the next month I could not get the bank manager XXXX to the phone. finally AFTER NO ANSWERS i went in and sat one day  from XXXX until XXXX with no one ever helping me when it was time to lock up a tellar finally told me that the bank manager was longer there.Yes that's right. Office empty and XXXX  NAME OFF DOOR. ..at that point I was referred to XXXX XXXX . over the next couple months I could not get him to explain to me where the money was that they had indeed cashed. Finally in XXXX ( the month my next payment should have been due ) Mr XXXX admitted to me there was theft in the bank not only by the original banker but that the next banker that took her spot also did SOME WRONG BY not APPLYING my payments right AND ON MY LOAN.and that I should take it up with the original one who DID THIS TO ME, ( HIS WORDS ) Well at that point it got bad because what he was saying ludicrous. It's not my fault the bank hired both his family members ( NOTICE I SAID BOTH RELATED TO HIM ) who stole my money and I was sure I could in no way loose.The last conversation XXXX and I had he told me Pay XXXXk TO GET THE ACCOUNT TO DATE OR IM FORECLOSING. my mouth wrote a check that day I couldnt cash because at that point I dared him and said you will loose. I will see you in court you a $ $ hole! He then laughed historically and said I will see you and when I take your house I'm gon na laugh in your f % $ $ $ $! face. Well guess what, He did.Because I did not get a lawyer. Not only was I not given the court date but over this period of time I lost both my mom and dad who lived in the land beside me. United bank took my first loan that I only owed XXXXk on and they sold my home for $ XXXXk..even if I did owe the whole XXXXk ( i didnt I paid back {$13000.00} back ) plus XXXXk that's a total of $ XXXXk. So they profited over XXXXk on top of all I had paid. I paid on my home 17years and they took it. Two nights after I moved out my mom passed away and I wasnt there beside her house to get there in time. So I will make sure in her name this goes public and it's never done again. If anyone else had this happen get in touch with me. I know there are more cases here exact same thing with having equity and bank takes it. Finally, I am able to get a lawyer.. look below at the credit report. 
Proof photos copy and paste ... 
https : XXXXXXXX"
"Credit reporting, credit repair services, or other personal consumer reports","I contacted Experian twice about a collection account that recently popped up on my report. 

I fixed a dispute twice and told them the balance reported was wrong. That I am a customer of the debtor and I owe {$160.00} not {$870.00}. I also have pictures from the original merchant showing how much I owed them. Experian refuses to take it off of my account or resolve this and it dropped my score. The original merchant is XXXX, not XXXX."
Vehicle loan or lease,"XX/XX/XXXX I bought a car XXXX XXXX XXXX XXXX XXXX ) from ( XXXX XXXX ) a dealership in Maryland , the car was financed by CREDIT ACCEPTANCE. I asked for the price of the car but was not told. The dealer only told me my monthly payment. He said the total Im financing was {$17000.00}. With a monthly payment of {$530.00} which was scheduled for a spilt pay of XXXX every two weeks. First I was told I will not pay until after a month, which my account was debited only one week after, this took my bank account to overdraft. This was the first fraudulent action From CREDIT ACCEPTANCE. I called to question this action, this was when I was told that my balance is {$29000.00} for a XXXX XXXX XXXX. I object and they said there was nothing I could do about it. That I already signed up for it. I told the associate that I never signed a single paper. Everything was done on their computer, it was late at night, I couldnt read the whole long text. I just trusted the auto giant associate who was explaining to me. Since XX/XX/XXXX Ive been making this rigorous payment and Im earlier this year I was out of job for one month which made me had a past due and I got into my car one morning and my car has been shot down. This was the first time I found out that CREDIT ACDEPTANCE had a tracker on my car without my consent. I called them and it was remotely turned on after I made a payment that morning. I missed my job and was totally messed up. This year alone my car has been turned down 4 times. My grieve right now is that I was told as at purchase that I will be eligible for refinancing as at purchase. I called them XX/XX/XXXX that I want to refinance and they said I cant that they dont do refinancing. This was absolutely different from what I was told upon signing. So Ive been paying XXXX XXXX monthly on this car without the opportunity of refinancing. They stock me up with this killing rate and with all this rigor, Ive been assulted and embarrassed by credit acceptance associate on several occasions. Theyve taken so much aggressive action on my turning down my car without notice or warning. Today XXXX of XXXX, Ive been seeing call from credit acceptance the whole day but couldnt pick up because I was at work. At the 5th time of calling me consecutively I was forced to pick up. And this lady was very rude, disrespectful and uncultured to me. Ask me to be quiet 4times in the conversation. I tried to pour out my concern to her but she never listen. She called me saying I have past due and my car will be turned down. I explained to her that I just made a payment as scheduled for me to pay on the XXXX XXXX which was a day before this day. She said a new bill has rolled over and I said Im aware but Im telling you I just made a payment yesterday. How do you call me to threaten me to turn down my car if I dont pay today when I just paid {$300.00} yesterday. All effort to convince her was abortive because she will not listen. I like to emphasis that this will not be the first time Ive been harrassed by credit acceptance associate. And I demand a review of my payment or cancelation without charge or report on my credit"
Debt collection,"I was notified through a credit alert that a new collections was placed on my credit report. I contacted the collection agency to explain that I never received anything in writing that I owed this debt. I was told this account was open in XX/XX/XXXX and the account was in a name I havent used since XX/XX/XXXX. I have never lived at the said address associated with the account. Also I filed Chapter XXXX in XX/XX/XXXX and if this was a debt I owed it would have came up way before now. I would like the error to be removed from my credit reports now. The collection agency only wanted to talk about how I was going to pay the debt and not provide me with a letter to validate this debt Original Creditor Name XXXX XXXX XXXX XXXX Amount due : {$120.00} Opened XX/XX/XXXX ( 1 mo ) HELVEY AND ASSOCIATES XXXX XXXX XXXX XXXX XXXX, IN XXXX"
Debt collection,"AAMS ACCOUNT NUMBER XXXX BALANCE IS {$4700.00} THIS COMPANY IS VIOLATING THE HIPPA ACT, SO I WILL SUE IF THEY DO NOT REMOVE IT FROM CREDIT REPORT."
"Credit reporting, credit repair services, or other personal consumer reports","I contacted XXXX on XX/XX/XXXX and XX/XX/XXXX requesting to have late payments removed from my credit report due to the fact that a retroactive deferment was granted for the student loans in question. I was told by XXXX that such reports could not be removed due to regulations of the Fair Credit Reporting Act ( FCRA ). Contrary to these assertions, by failing to update previously reported information, XXXX is in violation of Sections 623 ( a ) ( 1 ) and 623 ( a ) ( 2 ) of the FCRA as well as Sections 463 ( c ) ( 4 ) ( A ) and 464 ( h ) ( 1 ) ( A ) of the Higher Education Act ( HEA ). 

The FTC released an advisory opinion which interprets Section 623 ( a ) ( 2 ) of the FCRA. The issue posed in the advisory opinion is how a lender is to handle a situation when subsequent information updates a report that was allegedly accurate when it was made but no longer is accurate in the present time ( i.e., the identical situation I am currently in ). The advisory opinion states that Section 623 ( a ) ( 2 ) of the FCRA addresses the duty to correct and update information by furnishers, or persons who furnish information to consumer reporting agencies ( CRA ) such as the credit bureaus. In  particular, this section requires a person that has furnished to a consumer reporting agency information that the person determines is not complete or accurate to promptly notify the consumer reporting agency of that determination and provide any information needed to make it complete and accurate. Thus, on its face, this provision requires a furnisher to provide corrected or updated information to the consumer reporting agency that it had reported to originally. This duty extends to all student loan accounts reported to CRAs, regardless of whether they were accurate at one point, because the section requires the furnisher both to update accounts as well as to correct. 

Section 463 ( c ) ( 4 ) ( A ) of the Higher Education Act similarly states that an institution shall disclose promptly to such consumer reporting agency any changes to the information previously disclosed. The US Department of Education issued an opinion that stated a retroactive forbearance/deferment acknowledges a period where no payments were due. If no payments were due, then a payment could not be considered late. A payment that was initially reported as being late would need to be changed after the retroactive forbearance/deferment takes effect. This change would legally need to be reported per the above statute and as per Section 464 ( h ) ( 1 ) ( A ) of the HEA, which states the institution that made that loan ( or the Secretary, in the case of a loan held by the Secretary ) shall request that any consumer reporting agency to which the default was reported remove the default from the borrowers credit history. 

XXXX representatives told me on XX/XX/XXXX that because the delinquent payments were accurately reported from XXXX of XXXX to XXXX of XXXX, any subsequently initiated deferments would not allow for XXXX to update reports to CRAs to show that the payments were not late and actually in deferment. However, this assertion is error as Section 623 ( a ) ( 2 ) of the FCRA and Sections 463 ( c ) ( 4 ) ( A ) and 464 ( h ) ( 1 ) ( A ) of the HEA clearly show that the reports must be updated/corrected regardless of whether they were accurate at one point as they are no longer accurate at this present time due to the retroactive deferment. 

Continuing to report this clearly inaccurate information is in violation of Section 623 ( a ) ( 1 ) of the FCRA which states a person shall not furnish any information relating to a consumer to any consumer reporting agency if the person knows or has reasonable cause to believe that the information is inaccurate and a person shall not furnish information relating to a consumer to any consumer reporting agency if ( i ) the person has been notified by the consumer, at the address specified by the person for such notices, that specific information is inaccurate ; and ( ii ) the information is, in fact, inaccurate. The retroactive deferment granted in XXXX of XXXX nullified any payments that were due and/or missed beginning in XX/XX/XXXX. Since the payments due were nullified ( i.e., no longer due ), there is no possible way that a payment could be considered late at this present time. Reporting that a payment was late when none was due is simply false and inaccurate. A reasonable person would doubt that a payment would still be considered late after a deferment was issued and a reasonable person would also expect that if a deferment was made to be retroactive, any penalties ( including late fees and late payment statuses ) incurred after the effective date would be nullified. 

All of my XXXX  accounts that were late as of XX/XX/XXXX show that my deferment status was effective as of XX/XX/XXXX. Therefore, my credit reports do not currently accurately reflect previous payment statuses with XXXX, both as they actually existed and as XXXX has recorded them. I am thus requesting that in compliance with Sections 623 ( a ) ( 1 ) and 623 ( a ) ( 2 ) of the FCRA and Sections 463 ( c ) ( 4 ) ( A ) and 464 ( h ) ( 1 ) ( A ) of the HEA, that XXXX  be forced to update/correct the four accounts  showing late payments from XXXX of XXXX to XXXX of XXXX. 

Internal XXXX rules and policies can not contradict, counteract, or circumvent the law. Continued inclusion of the erroneous late payment information places XXXX in willful violation of FCRA and HEA. To date, XXXX has refused to make the corrections to my credit report, despite being provided the information mentioned in this complain and being given ample opportunity. The law is clear as is XXXX 's willful disregard for complying with it. At this time, I need help to ensure that this matter is resolved according to the law."
Debt collection,"XXXX XXXX for XXXX the XXXX XXXX XXXX. Advised months ago not to call me during work hours as my company will not allow me to speak with them then ( they can call after XXXX, eastern ) so instead, they looked up my previous credit information and started calling my mother 's number daily starting XX/XX/XXXX - XX/XX/XXXX ( who I have not lived with for years ) and then my husband, on XX/XX/18, neither of which is listed as a contact number or a debtor for the account. I spoke with them on XX/XX/18 and made a payment of part of the debt owed, and advised them on the call that I will contact them when I get paid again ( around the XX/XX/XXXX, ) I also asked them to not contact me again during business hours, and asked them to take my husband 's number and my mother 's number off the account, and was told my mother 's number was never on my account to call her, and they did not have another number on file. I received a "" unknown '' call today during my work hours at XXXXXXXX eastern. I used to work in debt collection, I know that they can not contact a customer more than 1 time in a 5 or 7 day period in New York State, and this has been within 3 business days. They need to be able to provide the telephone number when calling, and not purposely avoid caller id features. I advised them again not to contact me during business hours on today 's call, and that I just spoke with them saturday. My mother advised me since then that she has received a call again today on XX/XX/18 from them after I advised them not to call her."
"Payday loan, title loan, or personal loan","I received a high interest rate loan from XXXX After receiving the funds, I came across the origination fee on the documents sent to me that were in the same amount as the loan. Loan amount approx. {$4600.00}. and origination fee approximately {$5000.00} I contacted the company immediately regarding the fee and the responded that the removed half the the fee. I replied via email Thank you. 
After that email, I was waiting for correspondence from them for payment. I wasn't sure if it changed the amount of the monthly installment or not. 
Previously when I had a loan with this company, they'd either call or text me as a reminder for the payment. 
I received nothing from them via mail, email, phone or text since the reduction for origination fee via email. 
All of a sudden, I go to get a new car and my credit is hit with a charge off from the company in the amount of the loan causing my score to plummet and making it nearly impossible for me to get financed. I ended up with getting a horrible rate due to this scenario.. 
I contact the company and they agreed that there was no proper notice provided to me prior to the credit reporting. No calls from collection or correspondence via mail. I asked why not and they said because it was in a certain department regarding the previous issue. 
Now, they tell me they didn't need to notify me to remind me of payment or to inform me of past due balances and monies due prior to charging off the debt greatly effecting my credit. 
This just doesn't seem accurate to me. Is this true of a high interest rate loan company?"
"Payday loan, title loan, or personal loan",Could not pay the loan due to losing job and loss of child support. They have used a third party debt collector to contact my family threatening to serve me with an arrest warrant in the next 30 minutes. They call my phone spoofing my dad 's number so I will pick up and threatening she will be at my house in 15 minutes with an arrest warrant to go to jail. My kids are scared as am I.
"Money transfer, virtual currency, or money service","I use MoneyGram to send money to my relatives in XXXX ( XXXX XXXX ) several times per year. My most recent transfer was on XX/XX/2018. MoneyGram promises a free phone call for the sender to inform the recipient about the transfer and to give the recipient the "" Reference Number '' for the transfer. When I was about to make the free phone call, I noticed that my receipt did not show the information for the free phone call. The XXXX # plus the PIN that's needed to make the phone call were missing. 
The MoneyGram Receipt Jacket has printed instructions on how to make the phone call, and includes the MoneyGram Customer Service phone number. I called the MoneyGram Customer Service phone number to get the PIN number so I could complete the free phone call. I spent more than 15 minutes being taken through several menu items, none of which applied to my issue. When I finally got to speak to a live person, he informed me that I had the wrong number. He gave me a new number for MoneyGram Customer Service ( different from the customer service number on the receipt and on the receipt jacket ). The person who responded to this second number, told me that he could not give me a PIN number, and that I have to go back to the agency ( XXXX XXXX   ) where I made the money transfer. 
When I contacted XXXX XXXX, they said they do not control the giving out of the PIN numbers, or what's printed on the receipt. All this is controlled by MoneyGram. XXXX XXXX took my information and contacted MoneyGram for an explanation of the situation. XXXX XXXX told me that MoneyGram informed them that they had discontinued the free phone calls from XX/XX/2018. However, I found this to be untrue because I sent money from the same agency on XX/XX/2018, and got the free phone call then. There was no notice that the free phone call would be discontinued. 
I find that whenever I need to contact MoneyGram Customer Service, they usually provide false information. They usually give the customer the run-around to avoid taking responsibility for solving a problem. If MoneyGram does not improve on the way they treat customers, they should not be allowed to continue doing business. I pay them {$9.00} to send {$150.00}, and they pay a very low exchange rate in the destination country. So they are making money on both ends. At least, if they discontinue the free phone call, they should have the decency to be upfront with that information, and not mislead customers."
"Payday loan, title loan, or personal loan","In XX/XX/2017 I found a promotion through XXXX, where you could receive points for refinancing your student loans through SoFi. I was interested, and applied through the correct link, which brought me to the SoFi website. I applied, and was approved. I called SoFi to confirm that the promotion was on my account, as there had been some back-and-forth since application for additional documents, etc., and was told that indeed I had the promotion and the points would take several months to show up. 

I waited 6-7 months before calling back and asking about the points, which had not yet shown up. SoFi told me that I had used an incorrect link, and so I did not get the promotion. I asked the representative to check call notes, and he confirmed that I called specifically about the promotion, and was told that I would receive it prior to funding my loan. However, as the promotion has since expired, there is "" nothing they can do about it ''. I asked about alternative ways to be made whole, and they are unable and unwilling to do anything. I asked for confirmation of this in writing ( including the notes where I was specifically told I had the promotion, the day before funding my account ) and they are refusing. I would move my loans to another company if it wouldn't adversely affect my credit score/report, but I'm not willing to tarnish my creditworthiness over SoFi 's misrepresentation."
Vehicle loan or lease,"XX/XX/XXXX date of loan, amount was {$8300.00}, XXXX  XXXX, CA location sold a vehicle to me that was rusted underneath, I reported to them multiple problems such as passenger door opening up while car in motion. XXXX  repossessed the vehicle from my residence, and when I spoke to XXXX my account manager, he explained there was "" nothing more for me to worry about, '' but on my credit report it states, "" legally paid in full for less than the full balance ''! This is causing my current credit report to have a "" potentially negative '' mark on it. I need them to remove this so I can apply and retain a apartment. I am presently living in my car. I suffered a small XXXX in XX/XX/XXXX and I need to be able to use my name to get the apartment."
Credit card or prepaid card,"At the time of purchase I was told no interest for 9 months at no time was I informed that this was considered deferred interest on the original purchase. I have been paying well over the minimum balance before the payment due date since Ive owned the card. Only to find out, it didnt matter. I was still charged interest. 

Every month Im battling bills, interest rates, and unforeseen fees on a fixed income. How am I supposed to build my credit back up, if card companies like Synchrony Bank, blindside you with back dated interest?"
Debt collection,"I kept getting written notice from Wakefield & Associates, so I finally asked for validating for this debt they claim I owe. They sent me an itemized summary but no signed contract or hippa release. Which doesn't verify this is mines. They also told me in a letter that they will no longer investigate or investigate again after I sent a second letter asking how they got this information. Also XXXX and XXXX and XXXX keep saying it is verified although it proves not to be, I have also sent them the same attachments as included here."
Student loan,"Hello! I am still struggling with XXXX  XXXX. this is in reference to an earlier case as well. XXXX  XXXX  XXXX  struggles to accurately track payments towards PLSF and upon certifying payments frequently changes they payments to count towards PLSF.

At one point, they did send me a letter stating they would credit me 23 payments ( great! ) based on earlier struggles and the difficulties I had  experienced, but this has not happened. I have a copy of the letter. Though on 10 year standard repayment, no payments since XXXX have been added to my account. documentation available. At the time of selecting the 10 year standard plan in XX/XX/XXXX, I was told it would count towards PLSF without the fluctuating payments and need to re-certify each year. I selected this payment as it would eliminate the 1-2 month delay in payments each year while they calculated my payment options, and the small difference in payments on XXXX did not warrant the delay. This option was available as a option to choose on the web site at that time, though it no longer can be found ( and no one notified me if this is true ). When you re-certify each year, they is a delay in payments and I wished to finish paying my loans as quickly as possible. Additionally, in XX/XX/XXXX, I had 85 payments ( I have documentation ). Yet in XXXX I had 75 ( documation available ) I currently have 76 payments, in spite of making 11 payments that were not counted and the indication 23 payments would be added to my account by XXXX towards PLSF. I believe I should have 119 payments. XXXX believes I have 76 payments, and need to make 44 more, and MAYBE could then apply to PLSF ; though one advised this would ONLY count if I now switched to a different payment plan such as REPAYE, but this MIGHT not count as all the payments would not be REPAYE. 

I am extremely frustrated as I am genuinely attempting to make 120 on time payments within a predictable payment plan- and seem to move either backwards or hold still. though maybe this is the intent : for me to make payments forever."
Credit card or prepaid card,"Dear CFPB, I opened a credit card with Capital One in XXXX, and the address on the account was an old rental address of mine in Maryland. I moved from that rental property in XXXX, but the change of address I initiated with the USPS apparently did not report back to Capital One that my address was no longer valid, and Capital One continued to mail all of my information to that address for many years thereafter. I forgot that the card was still active, and it carried a XXXX balance for many years until someone obtained my card in XXXX ( likely someone who lived at the rental I previously occupied ) and fraudulently charged several purchased on the card. The total charges were under {$200.00}. 

After a year of calling in several times to Capital One, to log the dispute, and hearing nothing back, and continuing to see this derogatory information on my credit report, I finally persisted today for hours until someone finally told me that they refused to consider the charges true fraud. 

I also found out that the account was still open, but I had closed earlier this year. 

Additionally, Capital One has changed the account number for my card and is reporting two different card numbers for the same account to the credit bureaus, so that it appears as if I have two seriously delinquent cards with Capital One. 

I asked the fraud manager that I was speaking to, XXXX, what I could do at this point. I asked if I could appeal the decision. She said no. I asked if I could be sent a written explanation of why the charges were not deemed fraud. She denied that request as well. I also asked to speak with her supervisor, and she said there was no supervisor available, even though she was only a manager. 

I was defrauded and I'm being denied any kind of fair process. 

Thank you in advance for any help."
